Znak,P1_1,P1_2,P2_1,P2_2,P3_1,P3_2,P4_1,P4_2,P5_1,P5_2
a,26519,9746,15155,15174,14081,16154,16535,14220,12565,13997
a,26519,9932,15165,15213,14129,16202,16521,14245,12600,14068
a,26517,9544,15210,15067,14867,16678,26087,15308,11759,14842
a,26516,9701,15110,15012,13986,16042,16398,14105,12519,23851
a,26516,9754,15114,15023,13992,16052,16459,14155,12566,13880
a,26516,9778,15114,15033,13992,16052,16463,14154,12569,13885
a,26516,9758,15115,15042,13995,16055,16469,14157,12570,13888
a,26516,9721,15118,15046,13998,16059,16471,14161,12572,13890
a,26516,9678,15124,15051,14002,16062,16477,14161,12572,13890
a,26515,9757,15110,15017,13989,16046,16454,14150,12564,13881
a,26514,9752,15114,15036,13993,16053,16465,14157,12569,13885
a,26514,10092,16173,16771,15938,17341,17746,15843,13346,15118
a,26512,9757,26701,26246,16518,20709,19515,14663,13108,16520
a,26510,9824,16207,16572,15843,17282,17668,15781,13251,15145
a,26507,10253,15080,14793,14750,16611,26205,15314,11717,14800
a,26506,9687,15212,14988,14870,16666,26157,15339,11774,14862
a,26504,9547,15213,15075,14871,16678,26072,15302,11756,14838
a,26495,9547,15212,15070,14869,16678,26078,15304,11759,14838
a,26491,9263,15091,14990,13959,16022,16407,14113,12541,13901
a,26491,9572,16651,16125,16339,16714,26572,16690,13813,14323
a,26484,10016,15191,14898,14861,16649,26213,15366,11781,14881
a,26483,9702,16200,16548,15830,17264,17644,15759,13230,15141
a,26481,9551,15237,15126,14895,16696,25967,15264,11729,14797
a,26479,10025,15187,14894,14859,16648,26215,15364,11780,14875
a,26475,9827,16208,16574,15843,17284,17672,15780,13250,15141
a,26468,9558,15111,15002,13982,16035,16444,14143,12557,13904
a,26468,9706,15113,15006,13986,16040,16446,14149,12560,13893
a,26468,9723,15113,15009,13988,16041,16393,14100,12556,13909
a,26466,9127,15107,14997,13977,16030,16396,14141,12552,13923
a,26462,9681,15312,15302,14997,16750,24293,14454,11220,14113
a,26452,9641,15079,14956,13936,15985,16381,14113,12551,13963
a,26446,10022,15183,14889,14856,16646,26218,15362,11775,14879
a,26446,9823,16199,16564,15837,17275,17654,15765,13239,15136
a,26438,9634,15076,14953,13936,15982,16420,14111,12552,13942
a,26426,9825,16204,16570,15844,17280,17661,15776,13246,15140
a,26425,10028,15173,14868,14828,16640,26221,15356,11753,14861
a,26423,10259,15141,14836,14818,16615,26212,15344,11737,14833
a,26423,9827,16206,16571,15842,17280,17666,15778,13250,15142
a,26420,9284,15088,14972,13948,16009,16432,14119,12551,13949
a,26395,10256,15158,14852,14822,16627,26219,15353,11748,14853
a,26363,9640,15076,14938,13928,15968,16415,14107,12550,13982
a,26331,9361,15217,16431,13136,16975,17704,14363,12164,15041
a,26329,9361,15217,16434,13136,16978,17706,14365,12166,15041
a,26328,9366,15215,16428,13133,16970,17699,14361,12163,15038
a,26326,9360,15219,16437,13140,16981,17709,14369,12165,15044
a,26324,9367,15215,16423,13131,16970,17697,14360,12159,15037
a,26323,9368,15213,16421,13127,16966,17696,14357,12157,15033
a,26320,9339,15221,16444,13144,16983,17711,14371,12170,15043
a,26320,9378,15226,16454,13155,16994,17720,14380,12181,15054
a,26319,9324,15207,16407,13115,16958,17688,14350,12147,15027
a,26317,9336,15208,16412,13118,16960,17689,14354,12150,15028
a,26315,9361,15220,16441,13141,16980,17708,14369,12169,15046
a,26315,9341,15223,16445,13150,16984,17715,14374,12174,15046
a,26314,9325,15204,16404,13110,16954,17685,14345,12143,15026
a,26314,9355,15223,16447,13151,16987,17715,14374,12174,15047
a,26310,9316,15204,16400,13108,16953,17683,14340,12136,15022
a,26303,9852,16211,16588,15855,17289,17678,15788,13259,15134
a,26299,9314,15199,16394,13105,16949,17679,14337,12131,15018
a,26298,10257,15165,14859,14828,16632,26221,15356,11752,14861
a,26294,9308,15199,16385,13104,16943,17674,14332,12125,15011
a,26294,9311,15198,16390,13108,16945,17677,14336,12128,15014
a,26289,9307,15194,16381,13099,16938,17673,14329,12120,15006
a,26286,9304,15194,16376,13096,16935,17669,14325,12119,15006
a,26282,9297,15188,16373,13091,16928,17664,14322,12114,15000
a,26271,9820,16207,16571,15842,17279,17672,15781,13251,15140
a,26268,9824,16207,16573,15842,17280,17668,15780,13250,15144
a,26196,9609,15089,14870,13932,15902,16379,14095,12542,13959
a,26180,10258,15151,14845,14826,16623,26208,15347,11740,14841
a,26164,9853,16209,16582,15849,17290,17678,15787,13259,15131
a,26139,9846,16215,16591,15857,17291,17680,15789,13259,15127
a,26112,10481,14893,14686,14581,16562,26236,15244,11652,14808
a,26099,10364,14955,14725,14626,16580,26220,15263,11675,14812
a,25914,22936,14812,14929,12836,16323,15932,13838,11436,14027
a,25911,9846,16213,16591,15855,17291,17678,15789,13258,15132
a,25756,9651,15087,14886,13935,15915,16387,14101,12544,13964
a,25725,10010,15186,16089,13006,16908,17620,14344,12469,14658
a,25714,10008,15184,16088,13006,16910,17618,14346,12469,14658
a,25714,9806,16216,16593,15858,17293,17682,15790,13260,15129
a,25704,10029,15183,16077,13006,16902,17613,14338,12465,14655
a,25701,10016,15186,16090,13009,16912,17622,14347,12472,14661
a,25700,10012,15186,16088,13008,16910,17620,14345,12471,14660
a,25683,10027,15169,16052,12993,16886,17600,14324,12461,14645
a,25680,10022,15171,16054,12994,16887,17602,14325,12459,14646
a,25673,10022,15181,14883,14848,16643,26218,15360,11768,14871
a,25672,10026,15182,16079,13004,16903,17613,14340,12465,14657
a,25671,10017,15172,16054,12995,16887,17601,14325,12461,14645
a,25671,10016,15174,16060,12998,16891,17605,14329,12463,14647
a,25670,10015,15177,16060,12999,16894,17607,14332,12464,14651
a,25669,10024,15183,16082,13005,16906,17615,14339,12466,14657
a,25668,10015,15174,16059,12998,16890,17605,14329,12463,14646
a,25668,10021,15177,16066,12999,16895,17607,14332,12462,14649
a,25664,10036,15164,16041,12982,16878,17595,14310,12455,14639
a,25663,10032,15164,16040,12983,16877,17593,14310,12456,14635
a,25661,10018,15177,16068,13002,16895,17610,14335,12464,14651
a,25646,10016,15180,16069,13000,16898,17608,14337,12463,14651
a,25641,10008,15158,16019,12971,16864,17580,14299,12453,14627
